iter	Passed	Remaining
402	12103	17930
403	12149	17923
404	12184	17900
405	12214	17870
406	12245	17841
407	12273	17809
408	12304	17779
409	12332	17746
410	12366	17722
411	12399	17696
412	12429	17666
413	12460	17637
414	12484	17598
415	12516	17571
416	12549	17545
417	12573	17506
418	12607	17481
419	12636	17450
420	12667	17421
421	12697	17391
422	12727	17360
423	12754	17326
424	12780	17291
425	12804	17252
426	12826	17212
427	12856	17182
428	12881	17145
429	12905	17106
430	12936	17078
431	12961	17041
432	12988	17008
433	13018	16978
434	13048	16948
435	13072	16910
436	13104	16882
437	13132	16850
438	13156	16813
439	13183	16778
440	13214	16750
441	13240	16715
442	13264	16677
443	13287	16638
444	13309	16599
445	13335	16565
446	13367	16536
447	13391	16500
448	13422	16472
449	13453	16442
450	13477	16405
451	13507	16375
452	13540	16350
453	13571	16321
454	13600	16291
455	13624	16254
456	13647	16216
457	13679	16187
458	13703	16152
459	13731	16119
460	13757	16085
461	13792	16061
462	13818	16026
463	13842	15990
464	13871	15959
465	13907	15937
466	13931	15900
467	13960	15869
468	13984	15833
469	14016	15806
470	14043	15773
471	14069	15738
472	14095	15704
473	14126	15676
474	14152	15642
475	14187	15618
476	14218	15590
477	14249	15561
478	14274	15525
479	14303	15495
480	14335	15468
481	14363	15436
482	14401	15415
483	14428	15381
484	14454	15348
485	14488	15322
486	14518	15293
487	14544	15260
488	14577	15233
489	14610	15207
490	14641	15178
491	14669	15146
492	14701	15119
493	14736	15094
494	14765	15063
495	14791	15030
496	14826	15005
497	14858	14977
498	14886	14945
499	14918	14918
500	14952	14892
501	14984	14864
502	15011	14832
503	15036	14798
504	15066	14768
505	15107	14749
506	15137	14719
507	15175	14697
508	15204	14666
509	15236	14638
510	15271	14613
511	15299	14582
512	15331	14554
513	15359	14522
514	15388	14491
515	15417	14461
516	15446	14430
517	15482	14406
518	15513	14377
519	15536	14341
520	15561	14307
521	15593	14279
522	15623	14249
523	15653	14219
524	15685	14191
525	15720	14166
526	15771	14155
527	15806	14130
528	15834	14098
529	15866	14070
530	15902	14045
531	15934	14017
532	15963	13986
533	15997	13960
534	16028	13931
535	16059	13902
536	16095	13877
537	16124	13846
538	16147	13810
539	16172	13776
540	16207	13750
541	16235	13719
542	16261	13685
543	16286	13651
544	16315	13621
545	16346	13592
546	16379	13565
547	16408	13534
548	16433	13500
549	16457	13464
550	16482	13431
551	16508	13398
552	16534	13365
553	16565	13336
554	16594	13305
555	16619	13271
556	16650	13242
557	16675	13209
558	16701	13176
559	16727	13143
560	16755	13111
561	16780	13077
562	16810	13048
563	16837	13016
564	16862	12982
565	16893	12953
566	16925	12925
567	16951	12892
568	16974	12857
569	16999	12823
570	17023	12789
571	17046	12755
572	17071	12721
573	17102	12693
574	17126	12658
575	17151	12625
576	17175	12591
577	17208	12563
578	17237	12533
579	17272	12507
580	17304	12479
581	17329	12446
582	17355	12413
583	17384	12383
584	17408	12349
585	17431	12315
586	17456	12282
587	17488	12254
588	17512	12220
589	17536	12186
590	17560	12152
591	17589	12122
592	17616	12091
593	17641	12058
594	17671	12028
595	17703	12000
596	17734	11971
597	17759	11938
598	17783	11904
599	17814	11876
600	17846	11848
601	17876	11818
602	17905	11788
603	17941	11763
604	17968	11731
605	17994	11699
606	18025	11670
607	18049	11637
608	18074	11604
609	18101	11573
610	18147	11553
611	18176	11523
612	18202	11491
613	18232	11462
614	18268	11436
615	18294	11404
616	18331	11379
617	18357	11347
618	18383	11315
619	18409	11283
620	18443	11256
621	18466	11222
622	18491	11189
623	18525	11162
624	18550	11130
625	18580	11101
626	18610	11071
627	18637	11040
628	18665	11009
629	18695	10980
630	18722	10948
631	18746	10915
632	18771	10883
633	18807	10857
634	18831	10824
635	18858	10793
636	18884	10761
637	18920	10735
638	18946	10703
639	18974	10673
640	19004	10643
641	19034	10614
642	19064	10584
643	19098	10557
644	19122	10524
645	19150	10494
646	19180	10464
647	19206	10433
648	19242	10406
649	19276	10379
650	19308	10351
651	19346	10325
652	19377	10296
653	19416	10272
654	19447	10243
655	19480	10215
656	19519	10190
657	19557	10165
658	19588	10136
659	19615	10105
660	19651	10078
661	19678	10047
662	19705	10016
663	19731	9984
664	19771	9959
665	19806	9932
666	19835	9902
667	19865	9873
668	19892	9842
669	19917	9810
670	19944	9778
671	19970	9747
672	20000	9717
673	20025	9685
674	20052	9654
675	20082	9625
676	20113	9596
677	20147	9568
678	20178	9539
679	20211	9511
680	20237	9479
681	20267	9450
682	20300	9421
683	20328	9391
684	20356	9360
685	20380	9328
686	20409	9298
687	20435	9267
688	20460	9235
689	20490	9205
690	20516	9174
691	20543	9143
692	20573	9113
693	20597	9081
694	20632	9054
695	20658	9023
696	20682	8991
697	20712	8961
698	20743	8932
699	20776	8904
700	20802	8873
701	20828	8841
702	20861	8813
703	20903	8789
704	20939	8761
705	20963	8729
706	20997	8702
707	21026	8671
708	21055	8641
709	21094	8616
710	21130	8589
711	21158	8558
712	21184	8527
713	21216	8498
714	21245	8468
715	21274	8438
716	21304	8408
717	21336	8379
718	21368	8351
719	21399	8321
720	21430	8292
721	21462	8264
722	21493	8234
723	21521	8204
724	21557	8176
725	21588	8147
726	21612	8115
727	21638	8084
728	21663	8053
729	21692	8023
730	21717	7991
731	21748	7962
732	21771	7930
733	21801	7900
734	21828	7870
735	21855	7839
736	21885	7809
737	21912	7779
738	21940	7748
739	21963	7716
740	21993	7687
741	22026	7658
742	22051	7627
743	22090	7601
744	22119	7571
745	22148	7541
746	22178	7511
747	22201	7479
748	22230	7449
749	22262	7420
750	22286	7389
751	22317	7359
752	22342	7328
753	22375	7300
754	22413	7273
755	22439	7242
756	22464	7211
757	22491	7180
758	22524	7152
759	22551	7121
760	22591	7094
761	22619	7064
762	22658	7038
763	22686	7007
764	22710	6976
765	22738	6946
766	22765	6915
767	22799	6887
768	22823	6856
769	22850	6825
770	22875	6794
771	22905	6764
772	22947	6738
773	22977	6709
774	23003	6678
775	23029	6647
776	23060	6618
777	23092	6589
778	23126	6560
779	23153	6530
780	23177	6499
781	23203	6468
782	23227	6437
783	23270	6411
784	23307	6383
785	23338	6354
786	23368	6324
787	23392	6293
788	23417	6262
789	23445	6232
790	23476	6203
791	23506	6173
792	23535	6143
793	23564	6113
794	23598	6085
795	23634	6057
796	23660	6026
797	23687	5996
798	23714	5965
799	23750	5937
800	23780	5908
801	23813	5879
802	23845	5850
803	23878	5821
804	23904	5790
805	23930	5759
806	23958	5729
807	23995	5701
808	24029	5673
809	24058	5643
810	24086	5613
811	24120	5584
812	24147	5554
813	24175	5524
814	24208	5495
815	24242	5466
816	24273	5437
817	24304	5407
818	24334	5377
819	24365	5348
820	24397	5319
821	24427	5289
822	24455	5259
823	24487	5230
824	24520	5201
825	24552	5171
826	24578	5141
827	24607	5111
828	24638	5082
829	24664	5051
830	24689	5021
831	24713	4990
832	24737	4959
833	24767	4929
834	24804	4901
835	24838	4872
836	24874	4844
837	24898	4813
838	24920	4782
839	24953	4752
840	24976	4722
841	24999	4691
842	25026	4661
843	25051	4630
844	25080	4600
845	25105	4570
846	25149	4542
847	25182	4513
848	25211	4484
849	25239	4454
850	25266	4423
851	25297	4394
852	25326	4364
853	25357	4335
854	25386	4305
855	25417	4275
856	25443	4245
857	25470	4215
858	25496	4185
859	25524	4155
860	25552	4125
861	25578	4095
862	25612	4065
863	25635	4035
864	25660	4004
865	25685	3974
866	25719	3945
867	25752	3916
868	25785	3887
869	25814	3857
870	25845	3827
871	25872	3797
872	25901	3768
873	25932	3738
874	25958	3708
875	25985	3678
876	26014	3648
877	26047	3619
878	26075	3589
879	26100	3559
880	26130	3529
881	26157	3499
882	26188	3470
883	26220	3440
884	26251	3411
885	26278	3381
886	26307	3351
887	26331	3321
888	26356	3290
889	26390	3261
890	26421	3232
891	26447	3202
892	26475	3172
893	26501	3142
894	26534	3113
895	26563	3083
896	26600	3054
897	26636	3025
898	26676	2997
899	26707	2967
900	26739	2938
901	26772	2908
902	26807	2879
903	26839	2850
904	26867	2820
905	26892	2790
906	26917	2759
907	26954	2731
908	26981	2701
909	27014	2671
910	27047	2642
911	27071	2612
912	27105	2582
913	27132	2552
914	27160	2523
915	27194	2493
916	27221	2463
917	27249	2434
918	27273	2403
919	27300	2373
920	27328	2344
921	27355	2314
922	27382	2284
923	27411	2254
924	27443	2225
925	27468	2195
926	27493	2165
927	27521	2135
928	27545	2105
929	27572	2075
930	27594	2045
931	27630	2015
932	27657	1986
933	27685	1956
934	27713	1926
935	27745	1897
936	27771	1867
937	27799	1837
938	27826	1807
939	27851	1777
940	27876	1747
941	27900	1717
942	27925	1687
943	27955	1658
944	27982	1628
945	28013	1599
946	28045	1569
947	28074	1539
948	28101	1510
949	28126	1480
950	28156	1450
951	28181	1420
952	28206	1391
953	28230	1361
954	28254	1331
955	28288	1301
956	28314	1272
957	28341	1242
958	28378	1213
959	28411	1183
960	28447	1154
961	28480	1125
962	28509	1095
963	28540	1065
964	28576	1036
965	28606	1006
966	28639	977
967	28673	947
968	28713	918
969	28747	889
970	28781	859
971	28806	829
972	28835	800
973	28862	770
974	28892	740
975	28922	711
976	28953	681
977	28985	652
978	29011	622
979	29050	592
980	29083	563
981	29110	533
982	29143	504
983	29170	474
984	29196	444
985	29223	414
986	29252	385
987	29279	355
988	29307	325
989	29333	296
990	29370	266
991	29399	237
992	29426	207
993	29457	177
994	29487	148
995	29514	118
996	29550	88
997	29582	59
998	29630	29
999	29661	0
