iter	MultiClass
875	0.9381814716
876	0.9379690864
877	0.9375409039
878	0.9372334028
879	0.9368772258
880	0.9365135969
881	0.9358666284
882	0.9354008594
883	0.9350209595
884	0.9346040053
885	0.9341486281
886	0.933711835
887	0.9330285429
888	0.9325762733
889	0.932063199
890	0.9317919823
891	0.9311863641
892	0.9306710044
893	0.9304314485
894	0.9299500616
895	0.9295792988
896	0.9292436812
897	0.9287823561
898	0.9286582921
899	0.9283555046
900	0.9281199044
901	0.9276985077
902	0.9274832417
903	0.9267262322
904	0.9264999438
905	0.9257282016
906	0.9253263857
907	0.9247835499
908	0.9242143683
909	0.9238059119
910	0.9233016054
911	0.9225154663
912	0.922050377
913	0.9215212417
914	0.9209421117
915	0.9208240681
916	0.9204348175
917	0.9203138512
918	0.9200374732
919	0.9194941117
920	0.9190942608
921	0.9185372214
922	0.9179537403
923	0.9174601998
924	0.9171296918
925	0.9167075491
926	0.9161976454
927	0.9154424262
928	0.9152788988
929	0.9148670966
930	0.9147908595
931	0.9141997111
932	0.9135659186
933	0.9131419318
934	0.9125357062
935	0.912268965
936	0.9118741864
937	0.9114700667
938	0.9112287281
939	0.9106294622
940	0.9100077753
941	0.9094660618
942	0.9088629565
943	0.9084372561
944	0.9078883811
945	0.9073276405
946	0.9069459325
947	0.9066966554
948	0.9064742872
949	0.9058312507
950	0.9057371988
951	0.9054047432
952	0.9048498533
953	0.9043895708
954	0.9039219206
955	0.903609102
956	0.9032911989
957	0.9028900828
958	0.9023677099
959	0.9019498394
960	0.9016744906
961	0.9013368097
962	0.9007198198
963	0.9004184425
964	0.8998537295
965	0.8993364143
966	0.8989797826
967	0.8983064044
968	0.8980212953
969	0.8974990935
970	0.8969255117
971	0.8964831732
972	0.8959174
973	0.8955141798
974	0.8952569184
975	0.8945704878
976	0.8941104867
977	0.8938941726
978	0.8933581341
979	0.8929685753
980	0.8927971147
981	0.8923106366
982	0.8917722558
983	0.8914142366
984	0.8910532312
985	0.8907373541
986	0.8902966678
987	0.8898375918
988	0.8892831302
989	0.8889027564
990	0.888319662
991	0.8875964431
992	0.88730678
993	0.8867265301
994	0.886499605
995	0.8859569387
996	0.8854954127
997	0.8852768987
998	0.8847402223
999	0.8841863731
